,Date,Region,Sales Rep,Customer,Product,COGS,Sales
52,12/20/2004,MidWest,Sheliadawn,Amazon.com,ZON Item,4999.88,8474.38
53,12/20/2004,MidWest,Jon,Amazon.com,TOG Item,3589.22,8347.03
54,12/16/2004,MidWest,Jeri,Amazon.com,LII Item,7221.7,8206.48
55,12/9/2004,MidWest,Sheliadawn,McLendon's Hardware,VQN Item,6029.99,8039.98
56,12/7/2004,MidWest,Sheliadawn,The Economist,KTU Item,3649.08,8109.06
57,11/12/2004,MidWest,Chin,Solar and Wind Inc.,PET Item,3504.65,8150.36
58,10/31/2004,MidWest,Troung,Peet's Coffee,FPU Item,7841.64,8910.96
59,10/18/2004,MidWest,Luke,The Economist,MZS Item,8929.9,9550.7
60,9/30/2004,MidWest,Chin,Office Depot,KYB Item,3236.73,8747.93
61,9/7/2004,MidWest,Chin,Office Depot,CVM Item,7884.27,8432.37
62,8/8/2004,MidWest,Troung,Costco,SPK Item,7632.07,8162.64
63,7/25/2004,MidWest,Chin,Yahoo,CVQ Item,7400.68,9867.57
64,7/10/2004,MidWest,Luke,McLendon's Hardware,YOU Item,5100.55,9273.73
65,6/17/2004,MidWest,Chin,ExcelIsVeryFun.com,MWN Item,6305.0,9272.06
66,6/8/2006,MidWest,Sheliadawn,Sherman Williams,GWD Item,4651.7,7884.24
67,5/18/2006,MidWest,Troung,McLendon's Hardware,RRT Item,2442.52,6601.4
68,5/16/2006,MidWest,Jeri,Costco,LGL Item,4533.76,6045.01
69,5/1/2006,MidWest,Jeri,Solar and Wind Inc.,XTG Item,5990.5,7987.33
70,4/14/2006,MidWest,Jon,Amazon.com,EPL Item,6221.92,6654.46
71,4/12/2006,MidWest,Troung,Whole Foods,EPK Item,5928.82,7905.09
72,3/30/2006,MidWest,Jon,Sherman Williams,DYV Item,3133.13,6962.5
73,3/27/2006,MidWest,Steven,McLendon's Hardware,DPY Item,5943.56,6754.04
74,3/1/2006,MidWest,Chin,Whole Foods,STR Item,4421.19,7493.55
75,2/10/2006,MidWest,Chin,McLendon's Hardware,IUD Item,3235.23,7189.41
76,2/6/2006,MidWest,Rhonda,McLendon's Hardware,DLN Item,7334.86,7844.77
77,2/1/2006,MidWest,Jeri,Peet's Coffee,PED Item,4422.45,6503.61
78,1/27/2006,MidWest,Chin,Sherman Williams,CZM Item,6011.98,6429.93
79,1/9/2006,MidWest,Troung,Nature Company,VMA Item,7340.29,7850.58
80,12/16/2005,MidWest,Luke,Costco,QDR Item,3978.19,6858.94
81,12/4/2005,MidWest,Steven,Home Depot,RTF Item,2741.01,6091.14
82,11/2/2005,MidWest,Sheliadawn,McLendon's Hardware,NIV Item,5180.14,7617.85
83,11/1/2005,MidWest,Troung,Office Depot,KAI Item,4805.89,7067.48
84,10/28/2005,MidWest,Jon,Solar and Wind Inc.,VMC Item,4705.07,6273.43
85,10/27/2005,MidWest,Rhonda,The Economist,DNA Item,6349.59,7215.44
86,10/18/2005,MidWest,Jon,Amazon.com,PDH Item,3776.43,6511.09
87,9/25/2005,MidWest,Chin,Whole Foods,VPL Item,5781.82,7709.09
88,9/6/2005,MidWest,Luke,Peet's Coffee,HMK Item,4294.03,6314.75
89,8/28/2005,MidWest,Sheliadawn,The Economist,WEW Item,5349.44,7866.83
90,8/9/2005,MidWest,Sheliadawn,Peet's Coffee,GTP Item,4070.64,6899.39
91,7/27/2005,MidWest,Jeri,Solar and Wind Inc.,GLY Item,5352.97,6082.92
92,7/23/2005,MidWest,Jeri,Whole Foods,JRV Item,5299.46,7793.32
93,7/18/2005,MidWest,Chin,Yahoo,CVY Item,4445.83,7665.23
94,7/17/2005,MidWest,Jon,Office Depot,IDZ Item,5375.15,6108.12
95,6/25/2005,MidWest,Jeri,The Economist,SYE Item,3633.5,6606.36
96,6/7/2005,MidWest,Jon,Amazon.com,RCC Item,2763.33,6140.73
97,6/6/2005,MidWest,Troung,Whole Foods,SUK Item,3305.37,7345.26
98,5/21/2005,MidWest,Rhonda,Amazon.com,SMI Item,4149.35,7544.27
99,5/14/2005,MidWest,Jon,Yahoo,MXO Item,4029.06,6828.92
100,5/7/2005,MidWest,Steven,ExcelIsVeryFun.com,DQS Item,3897.72,7086.76
101,4/28/2005,MidWest,Jeri,McLendon's Hardware,NBV Item,6469.43,6919.18
102,4/20/2005,MidWest,Troung,Costco,KXJ Item,4501.76,6002.34
103,4/16/2005,MidWest,Jon,Amazon.com,ESQ Item,5199.76,6933.01
104,4/4/2005,MidWest,Rhonda,Google,QZW Item,5896.5,6700.57
105,4/1/2005,MidWest,Rhonda,The Economist,QSA Item,6032.36,6451.72
106,3/29/2005,MidWest,Steven,Google,UMR Item,5290.05,7053.4
107,3/13/2005,MidWest,Steven,Whole Foods,ABB Item,3604.66,6553.92
108,3/7/2005,MidWest,Jon,Costco,VTQ Item,4069.88,7399.78
109,2/18/2005,MidWest,Chin,Whole Foods,FKD Item,2924.24,6800.55
110,2/11/2005,MidWest,Troung,ExcelIsVeryFun.com,VMC Item,4673.31,7920.86
111,1/22/2005,MidWest,Chin,Home Depot,IND Item,2673.24,6216.84
112,1/14/2005,MidWest,Steven,McLendon's Hardware,LXS Item,6385.73,6829.66
113,1/9/2005,MidWest,Sheliadawn,Amazon.com,WHT Item,5832.7,6628.07
114,1/7/2005,MidWest,Troung,Costco,MUQ Item,2486.46,6720.15
115,12/25/2004,MidWest,Sheliadawn,Nature Company,KKF Item,3344.0,7431.1
116,12/21/2004,MidWest,Steven,Whole Foods,EXU Item,2432.74,6574.96
117,12/16/2004,MidWest,Rhonda,Yahoo,FZK Item,4145.58,7026.41
118,12/9/2004,MidWest,Jeri,Google,SZW Item,2607.7,6064.43
119,12/2/2004,MidWest,Troung,McLendon's Hardware,IUU Item,2965.04,6895.44
120,11/29/2004,MidWest,Jeri,Home Depot,EEE Item,2682.03,6237.27
121,10/16/2004,MidWest,Luke,Solar and Wind Inc.,XVI Item,4250.16,7327.87
122,10/7/2004,MidWest,Luke,Nature Company,AMV Item,4574.79,6727.63
123,10/5/2004,MidWest,Troung,The Economist,JPT Item,2580.17,6000.4
124,10/2/2004,MidWest,Sheliadawn,Peet's Coffee,RRN Item,7266.91,7772.1
125,10/2/2004,MidWest,Jeri,Costco,CLS Item,6662.83,7126.02
126,9/30/2004,MidWest,Jon,Office Depot,ZYT Item,6348.09,6789.4
127,9/26/2004,MidWest,Jon,Whole Foods,ARL Item,3590.77,6528.67
128,9/6/2004,MidWest,Steven,Solar and Wind Inc.,XKP Item,5481.77,6229.28
129,9/4/2004,MidWest,Jon,Yahoo,IAG Item,5988.93,7985.24
130,8/30/2004,MidWest,Rhonda,Peet's Coffee,JYF Item,3931.98,6779.28
131,8/18/2004,MidWest,Troung,Google,ZQU Item,4844.08,7123.64
132,8/17/2004,MidWest,Luke,Home Depot,YHI Item,3418.54,6215.52
133,7/30/2004,MidWest,Rhonda,Nature Company,IRA Item,6831.51,7306.43
134,7/15/2004,MidWest,Rhonda,Yahoo,UXX Item,4614.51,6786.04
135,6/24/2004,MidWest,Troung,Home Depot,ULM Item,6180.38,6610.03
136,6/10/2006,MidWest,Chin,Home Depot,OSX Item,2336.4,5433.48
137,5/30/2006,MidWest,Rhonda,Sherman Williams,BSY Item,4190.13,4761.51
138,5/18/2006,MidWest,Luke,Whole Foods,WBE Item,3489.65,4652.87
139,5/9/2006,MidWest,Luke,Home Depot,BQD Item,4285.18,5713.57
140,5/8/2006,MidWest,Chin,Costco,VGC Item,1834.05,4956.88
141,4/29/2006,MidWest,Jon,Solar and Wind Inc.,SUD Item,3196.62,5511.41
142,4/23/2006,MidWest,Troung,Peet's Coffee,JXE Item,1673.64,4523.34
143,4/18/2006,MidWest,Luke,Amazon.com,VWP Item,2322.14,4222.07
144,4/16/2006,MidWest,Jeri,Nature Company,XCF Item,2521.95,5865.01
145,4/13/2006,MidWest,Jeri,Office Depot,JXI Item,5416.99,5793.57
146,4/10/2006,MidWest,Sheliadawn,Yahoo,WLI Item,2373.28,4091.86
147,3/25/2006,MidWest,Jon,The Economist,AVS Item,4543.46,4859.32
148,3/23/2006,MidWest,Troung,Whole Foods,MCN Item,3132.06,5694.65
149,3/19/2006,MidWest,Sheliadawn,Sherman Williams,FYG Item,3434.03,4578.7
150,3/10/2006,MidWest,Rhonda,Solar and Wind Inc.,XSQ Item,4378.34,4682.72
151,3/2/2006,MidWest,Steven,ExcelIsVeryFun.com,HUA Item,1850.77,4112.83
152,1/27/2006,MidWest,Rhonda,The Economist,MVI Item,4128.83,5505.1
153,1/16/2006,MidWest,Jeri,ExcelIsVeryFun.com,VRL Item,3206.48,5528.41
154,1/9/2006,MidWest,Jeri,Google,PNA Item,2070.56,5596.1
155,12/27/2005,MidWest,Chin,Sherman Williams,SWI Item,2325.65,5168.11
156,12/25/2005,MidWest,Steven,McLendon's Hardware,UVW Item,3106.86,4142.48
157,12/23/2005,MidWest,Chin,Solar and Wind Inc.,FWO Item,4489.32,5985.76
158,12/19/2005,MidWest,Steven,Home Depot,JRS Item,2986.31,4391.63
159,11/16/2005,MidWest,Rhonda,Google,EKY Item,5142.92,5500.45
160,11/6/2005,MidWest,Luke,Amazon.com,DWD Item,3078.67,4527.45
161,10/28/2005,MidWest,Chin,Amazon.com,WXR Item,2714.01,4600.01
162,9/6/2005,MidWest,Sheliadawn,Nature Company,SHW Item,3853.06,4120.92
163,9/3/2005,MidWest,Steven,Home Depot,FSZ Item,3514.28,5168.06
164,8/22/2005,MidWest,Jeri,Home Depot,GPH Item,4442.32,5923.09
165,8/20/2005,MidWest,Steven,The Economist,UGE Item,2368.06,5507.11
166,8/13/2005,MidWest,Steven,Solar and Wind Inc.,QPM Item,2645.06,5877.92
167,8/9/2005,MidWest,Chin,Whole Foods,TLW Item,3580.69,4774.25
168,7/3/2005,MidWest,Steven,ExcelIsVeryFun.com,EPQ Item,1598.17,4319.39
169,6/27/2005,MidWest,Sheliadawn,ExcelIsVeryFun.com,LCU Item,3976.6,4518.86
170,6/11/2005,MidWest,Jon,McLendon's Hardware,UBQ Item,2170.67,4823.72
171,6/7/2005,MidWest,Rhonda,Yahoo,IAY Item,4825.25,5483.24
172,6/7/2005,MidWest,Troung,McLendon's Hardware,VRL Item,3612.19,5312.05
173,6/2/2005,MidWest,Jon,Office Depot,HNW Item,4484.9,5096.48
174,5/29/2005,MidWest,Jeri,Home Depot,BMC Item,3938.1,4211.87
175,5/20/2005,MidWest,Jeri,Amazon.com,MSL Item,2929.71,4308.4
176,5/16/2005,MidWest,Rhonda,Yahoo,HXF Item,2000.28,4651.82
177,4/27/2005,MidWest,Troung,Home Depot,ICQ Item,3027.87,4452.75
178,4/4/2005,MidWest,Rhonda,The Economist,EYG Item,3918.36,4452.68
179,3/5/2005,MidWest,Sheliadawn,Costco,HMD Item,3412.38,5883.42
180,3/4/2005,MidWest,Luke,ExcelIsVeryFun.com,YAK Item,5245.71,5610.38
181,2/17/2005,MidWest,Rhonda,Peet's Coffee,AOB Item,3002.01,4414.72
182,2/11/2005,MidWest,Jeri,Solar and Wind Inc.,HGT Item,3639.02,4852.02
183,1/27/2005,MidWest,Chin,Costco,ARS Item,3576.37,4064.06
184,1/21/2005,MidWest,Chin,McLendon's Hardware,KGB Item,1883.75,5091.21
185,1/16/2005,MidWest,Jeri,Office Depot,DIS Item,2476.4,5759.06
186,1/14/2005,MidWest,Chin,Costco,QRV Item,2674.67,4863.04
187,1/12/2005,MidWest,Troung,Yahoo,AMO Item,2118.48,5725.61
188,1/4/2005,MidWest,Steven,McLendon's Hardware,PBJ Item,2681.84,4623.86
189,12/17/2004,MidWest,Steven,Yahoo,WIP Item,3075.82,5592.4
190,12/14/2004,MidWest,Luke,Nature Company,PZB Item,2046.63,4548.07
191,11/29/2004,MidWest,Jeri,Yahoo,XAQ Item,2669.4,5932.0
192,11/28/2004,MidWest,Troung,Amazon.com,CIU Item,2143.98,4764.4
193,11/13/2004,MidWest,Chin,ExcelIsVeryFun.com,BDN Item,3755.38,4267.48
194,11/7/2004,MidWest,Sheliadawn,Yahoo,OMP Item,2972.24,4370.94
195,10/17/2004,MidWest,Chin,Costco,GSK Item,4316.71,4616.8
196,9/24/2004,MidWest,Jon,Whole Foods,ILP Item,2982.53,5422.79
197,9/12/2004,MidWest,Jeri,Nature Company,VRD Item,3673.27,4174.17
198,8/29/2004,MidWest,Steven,Solar and Wind Inc.,YFB Item,1775.84,4129.85
199,7/26/2004,MidWest,Troung,Amazon.com,HGB Item,3913.94,5218.59
200,7/8/2004,MidWest,Jeri,Nature Company,XKR Item,3708.54,4944.72
201,6/27/2004,MidWest,Sheliadawn,ExcelIsVeryFun.com,DWS Item,1990.16,5378.82
202,6/6/2006,MidWest,Chin,Yahoo,BMF Item,1701.54,2883.97
203,5/11/2006,MidWest,Chin,Costco,VYV Item,3545.62,3792.11
204,4/29/2006,MidWest,Jon,Whole Foods,VJO Item,2714.37,3991.72
205,4/12/2006,MidWest,Rhonda,Peet's Coffee,PDI Item,987.83,2195.18
206,4/5/2006,MidWest,Steven,Peet's Coffee,FEP Item,1451.01,3921.64
207,4/4/2006,MidWest,Chin,Sherman Williams,HRL Item,1961.48,2615.31
208,4/3/2006,MidWest,Jeri,Solar and Wind Inc.,KBV Item,3714.32,3972.53
209,3/28/2006,MidWest,Sheliadawn,Peet's Coffee,NOC Item,1539.53,3580.31
210,3/26/2006,MidWest,Troung,Yahoo,KMU Item,2675.93,3567.91
211,3/26/2006,MidWest,Jon,ExcelIsVeryFun.com,KRH Item,1404.55,2421.63
212,3/15/2006,MidWest,Jeri,Amazon.com,PMB Item,3260.0,3704.55
213,3/6/2006,MidWest,Rhonda,Office Depot,YHJ Item,925.96,2057.69
214,3/1/2006,MidWest,Steven,Amazon.com,BQS Item,1049.87,2837.49
215,2/19/2006,MidWest,Troung,Office Depot,HUJ Item,949.52,2110.04
216,2/10/2006,MidWest,Rhonda,Home Depot,LYS Item,1088.69,2531.84
217,2/7/2006,MidWest,Jon,Home Depot,DPA Item,2895.18,3096.45
218,2/4/2006,MidWest,Chin,Costco,YUO Item,1465.09,2526.02
219,1/24/2006,MidWest,Troung,Solar and Wind Inc.,BYD Item,1149.09,2672.3
220,1/19/2006,MidWest,Steven,Peet's Coffee,MWR Item,1247.74,3372.28
221,1/8/2006,MidWest,Jeri,McLendon's Hardware,PQV Item,1201.94,2795.22
222,1/5/2006,MidWest,Rhonda,Peet's Coffee,LWH Item,3128.83,3346.34
223,12/28/2005,MidWest,Chin,The Economist,DTW Item,1774.54,3007.69
224,11/24/2005,MidWest,Chin,Office Depot,WBX Item,3276.4,3504.17
225,10/28/2005,MidWest,Steven,Google,FRX Item,2044.35,2186.47
226,10/26/2005,MidWest,Steven,Sherman Williams,IOP Item,1691.97,2867.75
227,10/3/2005,MidWest,Steven,Sherman Williams,ILS Item,1461.23,3949.28
228,9/27/2005,MidWest,Jeri,Peet's Coffee,WXR Item,2648.42,3894.74
229,8/16/2005,MidWest,Jon,McLendon's Hardware,DXS Item,1983.9,3420.52
230,8/9/2005,MidWest,Jeri,Solar and Wind Inc.,JFK Item,1327.12,3586.82
231,8/6/2005,MidWest,Jeri,Google,DMU Item,769.61,2080.04
232,7/27/2005,MidWest,Jeri,McLendon's Hardware,UTT Item,1468.23,2488.53
233,7/9/2005,MidWest,Steven,The Economist,MTL Item,3730.96,3990.33
234,6/27/2005,MidWest,Rhonda,Home Depot,RFR Item,1074.69,2904.57
235,6/24/2005,MidWest,Sheliadawn,ExcelIsVeryFun.com,XJT Item,3189.35,3411.07
236,6/19/2005,MidWest,Chin,ExcelIsVeryFun.com,PBQ Item,1521.45,3538.26
237,6/10/2005,MidWest,Jeri,The Economist,HGY Item,1411.17,3281.8
238,5/22/2005,MidWest,Sheliadawn,Google,FEP Item,1444.06,3902.86
239,5/7/2005,MidWest,Luke,Home Depot,NEJ Item,2608.94,2964.7
240,4/10/2005,MidWest,Jeri,Whole Foods,TVX Item,2059.29,3490.33
241,4/4/2005,MidWest,Luke,Office Depot,WVS Item,1455.0,2645.45
242,4/1/2005,MidWest,Jon,Amazon.com,SQN Item,1506.99,2739.98
243,3/23/2005,MidWest,Rhonda,Costco,MKA Item,944.41,2552.46
244,3/23/2005,MidWest,Steven,Sherman Williams,SOJ Item,1264.97,2144.02
245,3/17/2005,MidWest,Luke,Yahoo,WOW Item,1445.64,3907.13
246,3/13/2005,MidWest,Sheliadawn,Peet's Coffee,QRF Item,1126.15,2618.96
247,3/1/2005,MidWest,Chin,Home Depot,DEW Item,1363.14,2004.62
248,2/23/2005,MidWest,Steven,Google,JVF Item,924.27,2498.04
249,2/19/2005,MidWest,Jon,Costco,QKE Item,2891.06,3285.29
250,2/16/2005,MidWest,Troung,Solar and Wind Inc.,YNQ Item,1982.48,2252.82
251,2/8/2005,MidWest,Jon,Google,WWB Item,1936.76,2582.35
252,2/6/2005,MidWest,Steven,McLendon's Hardware,XTY Item,1615.62,3757.25
253,1/25/2005,MidWest,Chin,Sherman Williams,BPZ Item,3148.53,3577.87
254,1/24/2005,MidWest,Rhonda,ExcelIsVeryFun.com,CTB Item,2303.43,3387.39
255,1/22/2005,MidWest,Rhonda,Solar and Wind Inc.,DAJ Item,2132.93,2281.21
256,1/2/2005,MidWest,Jon,Amazon.com,OJA Item,2437.66,3584.8
257,12/29/2004,MidWest,Jon,Peet's Coffee,ZCO Item,2767.93,3145.38
258,11/17/2004,MidWest,Troung,Home Depot,HBN Item,3404.2,3868.41
259,11/4/2004,MidWest,Jeri,Whole Foods,ZMB Item,1445.41,2449.85
260,10/14/2004,MidWest,Rhonda,Peet's Coffee,ITT Item,2317.3,3407.8
261,9/23/2004,MidWest,Sheliadawn,Yahoo,BVV Item,1657.2,2857.24
262,8/28/2004,MidWest,Jon,McLendon's Hardware,EBS Item,1901.45,2535.26
263,8/13/2004,MidWest,Steven,Solar and Wind Inc.,HMO Item,1054.76,2452.94
264,8/9/2004,MidWest,Luke,Sherman Williams,ZEI Item,1370.55,2491.91
265,8/6/2004,MidWest,Rhonda,Costco,UZM Item,1254.29,3389.97
266,6/7/2006,MidWest,Chin,Peet's Coffee,UJZ Item,304.81,326.0
267,5/30/2006,MidWest,Rhonda,Sherman Williams,BFS Item,1138.1,1293.29
268,5/17/2006,MidWest,Sheliadawn,ExcelIsVeryFun.com,UBW Item,436.86,1180.71
269,2/20/2006,MidWest,Chin,ExcelIsVeryFun.com,IWG Item,1201.33,1601.77
270,2/16/2006,MidWest,Jeri,Office Depot,UXT Item,83.82,95.25
271,2/7/2006,MidWest,Luke,Office Depot,LVU Item,297.94,805.23
272,2/5/2006,MidWest,Chin,ExcelIsVeryFun.com,OJW Item,486.17,1130.63
273,1/17/2006,MidWest,Sheliadawn,Yahoo,NNJ Item,746.97,798.9
274,12/29/2005,MidWest,Luke,Peet's Coffee,NFY Item,822.27,1393.67
275,12/21/2005,MidWest,Jeri,Home Depot,CPG Item,189.27,511.55
276,12/19/2005,MidWest,Luke,Solar and Wind Inc.,YJV Item,1081.32,1966.03
277,11/22/2005,MidWest,Sheliadawn,Office Depot,JKP Item,1014.32,1748.83
278,11/13/2005,MidWest,Sheliadawn,Solar and Wind Inc.,OSL Item,176.19,303.77
279,11/9/2005,MidWest,Sheliadawn,ExcelIsVeryFun.com,WXM Item,126.85,144.15
280,10/15/2005,MidWest,Troung,Costco,WIL Item,815.21,1381.71
281,10/9/2005,MidWest,Chin,Amazon.com,JQC Item,373.67,498.22
282,10/2/2005,MidWest,Jon,ExcelIsVeryFun.com,NBK Item,167.96,390.61
283,9/30/2005,MidWest,Luke,ExcelIsVeryFun.com,BFX Item,472.38,1049.73
284,9/28/2005,MidWest,Jeri,Yahoo,UNF Item,1000.48,1333.97
285,9/28/2005,MidWest,Rhonda,Sherman Williams,DCC Item,1013.12,1151.27
286,9/26/2005,MidWest,Jeri,ExcelIsVeryFun.com,BYJ Item,403.84,939.16
287,8/28/2005,MidWest,Steven,Yahoo,WFJ Item,489.08,1086.84
288,7/26/2005,MidWest,Chin,Solar and Wind Inc.,KNK Item,944.05,1600.08
289,7/8/2005,MidWest,Jeri,Whole Foods,NNC Item,558.38,597.2
290,7/5/2005,MidWest,Troung,Home Depot,ZJD Item,700.9,749.63
291,6/24/2005,MidWest,Chin,The Economist,NXJ Item,555.74,941.93
292,6/18/2005,MidWest,Jon,Peet's Coffee,OVC Item,175.8,297.96
293,5/30/2005,MidWest,Troung,Amazon.com,FAX Item,1004.52,1731.93
294,5/18/2005,MidWest,Rhonda,Whole Foods,HSH Item,567.88,607.36
295,5/5/2005,MidWest,Troung,Sherman Williams,PYI Item,742.98,1727.85
296,4/27/2005,MidWest,Rhonda,Google,OPN Item,73.77,134.13
297,4/21/2005,MidWest,Chin,Nature Company,CSJ Item,731.82,1977.89
298,3/26/2005,MidWest,Jeri,Sherman Williams,IEW Item,720.08,1674.6
299,3/26/2005,MidWest,Sheliadawn,McLendon's Hardware,GQY Item,578.61,980.69
300,3/16/2005,MidWest,Rhonda,Amazon.com,ABM Item,335.06,609.2
301,3/5/2005,MidWest,Jeri,Office Depot,QSQ Item,796.03,1447.32
302,2/24/2005,MidWest,Luke,Amazon.com,KMR Item,655.19,1191.25
303,2/1/2005,MidWest,Chin,The Economist,FPK Item,1760.2,1882.57
304,1/24/2005,MidWest,Chin,Costco,AZL Item,114.03,253.39
305,12/5/2004,MidWest,Steven,Nature Company,YEK Item,505.13,673.5
306,10/28/2004,MidWest,Rhonda,Costco,RLL Item,499.14,1109.19
307,10/13/2004,MidWest,Rhonda,Whole Foods,OHC Item,1108.81,1185.89
308,9/30/2004,MidWest,Jon,Peet's Coffee,LRH Item,500.89,1353.75
309,9/30/2004,MidWest,Jeri,Whole Foods,CBL Item,444.07,807.4
310,7/23/2004,MidWest,Troung,Nature Company,SAG Item,829.33,942.42
311,7/22/2004,MidWest,Jeri,Peet's Coffee,RAR Item,704.27,1214.26
312,7/8/2004,MidWest,Chin,Sherman Williams,ERC Item,1676.63,1905.26
313,6/28/2004,MidWest,Sheliadawn,Yahoo,VGE Item,844.62,903.34
314,6/12/2006,North,Sheliadawn,ExcelIsVeryFun.com,DQI Item,3786.49,8805.8
315,6/10/2006,North,Chin,Google,TEK Item,2681.74,5959.42
316,6/8/2006,North,Sheliadawn,Home Depot,LZH Item,2605.35,5789.67
317,6/7/2006,North,Rhonda,Whole Foods,MDI Item,3401.72,9193.84
318,6/3/2006,North,Rhonda,Peet's Coffee,ZLR Item,1291.46,1721.95
319,5/29/2006,North,Sheliadawn,McLendon's Hardware,YPW Item,295.79,336.12
320,5/28/2006,North,Jon,Nature Company,TYA Item,5262.21,9567.65
321,5/27/2006,North,Jeri,Sherman Williams,QAG Item,5422.67,7230.22
322,5/27/2006,North,Sheliadawn,Office Depot,KTI Item,1067.16,1808.75
323,5/27/2006,North,Steven,Yahoo,HPF Item,87.25,193.88
324,5/25/2006,North,Rhonda,McLendon's Hardware,IVZ Item,2580.64,6974.7
325,5/15/2006,North,Rhonda,Office Depot,YUT Item,3605.04,6554.62
326,5/13/2006,North,Rhonda,Nature Company,OAP Item,2666.14,7205.78
327,5/12/2006,North,Sheliadawn,Home Depot,MJU Item,1122.26,1902.13
328,5/11/2006,North,Troung,McLendon's Hardware,FZS Item,2293.85,3058.46
329,5/10/2006,North,Chin,Whole Foods,BPF Item,3475.93,6319.87
